aligned_name,source,taxonIDClean,taxonomicStatusClean,alternativeTaxonomicStatusClean,acceptedNameUsageID,canonicalName,scientificNameAuthorship,taxonRank,taxonomicStatus,family,subclass,taxonDistribution,ccAttributionIRI
Acacia victoriae,APC,https://id.biodiversity.org.au/node/apni/2904053,accepted,NA,https://id.biodiversity.org.au/node/apni/2904053,Acacia victoriae,Benth.,Species,accepted,Fabaceae,Magnoliidae,"WA, NT, SA, Qld, NSW, Vic",https://id.biodiversity.org.au/node/apni/2904053
Eucalyptus pauciflora,APC,https://id.biodiversity.org.au/node/apni/2897845,accepted,NA,https://id.biodiversity.org.au/node/apni/2897845,Eucalyptus pauciflora,Sieber ex Spreng.,Species,accepted,Myrtaceae,Magnoliidae,"SA, Qld, NSW, ACT, Vic, Tas",https://id.biodiversity.org.au/node/apni/2897845
